exhibition,2.22.2019 - 3.8.2019 NS5 大切にすることを大切にするための展覧会 開催,
publication,11.23.2019 大切にすることを大切にするための本 出版,
publication,5.30.2020 今でも大切? 出版,
publication,9.27.2020 ウェブサイト 大 chotto crazy にて ちょっとクレイジーな仲間たちの大切なもの 公開
exhibition,1.16.2021 - 1.31.2021 音ビル にて 大切にすることを大切にする展覧会 開催,
