sale,#magicringmakefriendship,Magic Ring,"[G-0] 500yen, 14qty + Sample",popup,
sale,｣ﾚｨﾉヾ─廾ｽ,Finger Band,"[G-1] Artwork by NANOOK, 500yen, 15qty + 2 Sample",popup,
sale,サコッシュ,Aparel,"[G-2] made by NANOOK, 2000yen, 2qty",popup,
sale,ヵ″｣ﾚ┐ィ~ S,Tee,"[G-3] Artwork by Kazquiz, 3000yen, 2qty",popup,
sale,ヵ″｣ﾚ┐ィ~ M,Tee,"[G-4] Artwork by Kazquiz, 3000yen, 2qty",popup,
sale,ヵ″｣ﾚ┐ィ~ XL,Tee,"[G-5] Artwork by Kazquiz, 3000yen, 2qty + Sample",popup,
sale,"Fright Simurator (Blue)",Pin,"[G-6] made by Laurel Schwulst, 700yen, 6qty",popup,
sale,"Fright Simurator (Orange)",Pin,"[G-7] made by Laurel Schwulst, 700yen, 7qty",popup,
sale,バンダナ,Aparel,"[Storage] made by NANOOK 1qty",,
sale,Minami Shogo Kazuki,Tee,"[Storage] ,1qty + Sample",,
